# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
5.762047384187590771e-02 -7.174596414624825891e-03 -1.911077094321311787e-03 6.799465106680578630e-03 1.568095235303897106e-02 2.983539617037215402e-02 8.272000000000000000e+03 4.209999999999999964e+00 -2.299999999999999822e+00
5.146424235028354555e-02 -6.408213048879021767e-03 -1.706861401104868559e-03 6.073219017590204827e-03 1.400588431017494445e-02 2.664792268949030957e-02 8.272000000000000000e+03 4.209999999999999964e+00 -2.250000000000000000e+00
4.585276062234792255e-02 -5.709614541768388840e-03 -1.520722862363977496e-03 5.411194962817104936e-03 1.247898072347385090e-02 2.374246778968160804e-02 8.272000000000000000e+03 4.209999999999999964e+00 -2.200000000000000178e+00
4.075254118612536142e-02 -5.074639895493622543e-03 -1.351548930119685424e-03 4.809453141222372330e-03 1.109114480444791523e-02 2.110170135898994243e-02 8.272000000000000000e+03 4.209999999999999964e+00 -2.150000000000000355e+00
3.613029352306883907e-02 -4.499151278225567430e-03 -1.198233882768793765e-03 4.264075138197417902e-03 9.833330775344040209e-03 1.870839379398232458e-02 8.272000000000000000e+03 4.209999999999999964e+00 -2.100000000000000533e+00
3.195319415126449819e-02 -3.979067824394347253e-03 -1.059687745736453621e-03 3.771196030265454302e-03 8.696617695914597018e-03 1.654555603163114508e-02 8.272000000000000000e+03 4.209999999999999964e+00 -2.050000000000000711e+00
2.818912389940318730e-02 -3.510395333806422963e-03 -9.348441275620102131e-04 3.327032596179099744e-03 7.672274331361809280e-03 1.459656257626885598e-02 8.272000000000000000e+03 4.209999999999999964e+00 -2.000000000000000888e+00
2.480687243265897873e-02 -3.089251878004260765e-03 -8.226669730437546207e-04 2.927907643060969484e-03 6.751815079296816929e-03 1.284525755315268220e-02 8.272000000000000000e+03 4.209999999999999964e+00 -1.950000000000001066e+00
2.177631063881500795e-02 -2.711889390785336695e-03 -7.221562533194858871e-04 2.570270520584984342e-03 5.927047122868404211e-03 1.127604410462357785e-02 8.272000000000000000e+03 4.209999999999999964e+00 -1.900000000000001243e+00
1.906853195302228576e-02 -2.374711376819136494e-03 -6.323526290782565881e-04 2.250713950505165567e-03 5.190109104447714408e-03 9.873957688376113970e-03 8.272000000000000000e+03 4.209999999999999964e+00 -1.850000000000001421e+00
