# Gaia_G_Mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-53.8648177178 3.15349668969 0.973551500969 -0.0918350704667 -0.558701758831 -0.797453423134 -0.706443155463 4000.0 3.5 -1.5 0.0
-53.7402238457 3.19192917853 0.9894895729 -0.0889464426853 -0.5639269995 -0.807766026263 -0.719715043989 4000.0 3.5 -1.5 0.1
-53.6157054884 3.23038814714 1.00547733895 -0.0859914866627 -0.569080555584 -0.818004579846 -0.732912154976 4000.0 3.5 -1.5 0.2
-53.366893167 3.30738091278 1.03760012445 -0.0798847080868 -0.579174754193 -0.838261685546 -0.759084187813 4000.0 3.5 -1.5 0.4
-53.2425981339 3.3459123541 1.05373423448 -0.0767339353375 -0.584116463038 -0.848281303218 -0.772060168243 4000.0 3.5 -1.5 0.5
-52.9942276714 3.4230392747 1.08614563359 -0.0702402245622 -0.593791743644 -0.868105315256 -0.797794692977 4000.0 3.5 -1.5 0.7
-52.870151191 3.46163223635 1.10242202793 -0.0668983222923 -0.598526361307 -0.877910758385 -0.810554284876 4000.0 3.5 -1.5 0.8
-52.7461465131 3.50024314595 1.11874496515 -0.0634937378264 -0.603192994664 -0.88764585508 -0.823242787636 4000.0 3.5 -1.5 0.9
-53.8077291022 3.71058636683 1.09361658629 -0.0605562985589 -0.601552572464 -0.880646152346 -0.795182220019 4000.0 4.0 -0 0.0
-53.5597201455 3.7868789002 1.12656725679 -0.0535188226993 -0.611023187949 -0.900097713477 -0.820547779345 4000.0 4.0 -0 0.2
-53.3119977781 3.86321463694 1.15970095659 -0.0462310094045 -0.620222028014 -0.919268528824 -0.845629592054 4000.0 4.0 -0 0.4
-53.1882427744 3.90139464684 1.17633532959 -0.0424944958224 -0.624720823866 -0.928749944653 -0.85806537509 4000.0 4.0 -0 0.5
-53.0645578708 3.93958050067 1.1930141326 -0.0386969177297 -0.629153217885 -0.938162718823 -0.870431756592 4000.0 4.0 -0 0.6
