# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
9.807128906250000000e-01 2.146606445312500000e-01 -8.414459228515625000e-02 -1.928710937500000000e-01 -2.183837890625000000e-01 -1.788330078125000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.500000000000000000e+00
1.010253906250000000e+00 2.197265625000000000e-01 -8.649444580078125000e-02 -1.973266601562500000e-01 -2.225341796875000000e-01 -1.806640625000000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.449999999999999956e+00
1.034667968750000000e+00 2.231445312500000000e-01 -8.838653564453125000e-02 -2.006835937500000000e-01 -2.261962890625000000e-01 -1.818847656250000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.399999999999999911e+00
1.053222656250000000e+00 2.271728515625000000e-01 -8.997344970703125000e-02 -2.034912109375000000e-01 -2.282714843750000000e-01 -1.879882812500000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.349999999999999867e+00
1.068847656250000000e+00 2.297363281250000000e-01 -9.117889404296875000e-02 -2.055664062500000000e-01 -2.310791015625000000e-01 -1.855468750000000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.299999999999999822e+00
1.080078125000000000e+00 2.319335937500000000e-01 -9.204864501953125000e-02 -2.065429687500000000e-01 -2.319335937500000000e-01 -1.879882812500000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.249999999999999778e+00
1.088378906250000000e+00 2.312011718750000000e-01 -9.271240234375000000e-02 -2.069091796875000000e-01 -2.321777343750000000e-01 -1.867675781250000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.199999999999999734e+00
1.089843750000000000e+00 2.316894531250000000e-01 -9.315490722656250000e-02 -2.069091796875000000e-01 -2.316894531250000000e-01 -1.818847656250000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.149999999999999689e+00
1.102050781250000000e+00 2.320556640625000000e-01 -9.345245361328125000e-02 -2.062988281250000000e-01 -2.297363281250000000e-01 -1.745605468750000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.099999999999999645e+00
1.101562500000000000e+00 2.312011718750000000e-01 -9.369659423828125000e-02 -2.058105468750000000e-01 -2.302246093750000000e-01 -1.733398437500000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -1.049999999999999600e+00
1.111328125000000000e+00 2.316894531250000000e-01 -9.397125244140625000e-02 -2.058105468750000000e-01 -2.287597656250000000e-01 -1.635742187500000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -9.999999999999995559e-01
1.111328125000000000e+00 2.309570312500000000e-01 -9.427642822265625000e-02 -2.058105468750000000e-01 -2.272949218750000000e-01 -1.562500000000000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -9.499999999999995115e-01
1.122070312500000000e+00 2.294921875000000000e-01 -9.471130371093750000e-02 -2.042236328125000000e-01 -2.255859375000000000e-01 -1.562500000000000000e-02 5.940000000000000000e+03 3.799999999999999822e+00 -8.999999999999994671e-01
9.753417968750000000e-01 2.097167968750000000e-01 -8.367156982421875000e-02 -1.898803710937500000e-01 -2.139892578125000000e-01 -1.281738281250000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.500000000000000000e+00
1.005371093750000000e+00 2.148437500000000000e-01 -8.596801757812500000e-02 -1.941528320312500000e-01 -2.189941406250000000e-01 -1.269531250000000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.449999999999999956e+00
1.027343750000000000e+00 2.192382812500000000e-01 -8.786010742187500000e-02 -1.981201171875000000e-01 -2.221679687500000000e-01 -1.330566406250000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.399999999999999911e+00
1.047363281250000000e+00 2.219238281250000000e-01 -8.935546875000000000e-02 -1.998291015625000000e-01 -2.250976562500000000e-01 -1.342773437500000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.349999999999999867e+00
1.063476562500000000e+00 2.244873046875000000e-01 -9.056091308593750000e-02 -2.011718750000000000e-01 -2.271728515625000000e-01 -1.306152343750000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.299999999999999822e+00
1.075683593750000000e+00 2.253417968750000000e-01 -9.145355224609375000e-02 -2.030029296875000000e-01 -2.277832031250000000e-01 -1.257324218750000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.249999999999999778e+00
1.079589843750000000e+00 2.261962890625000000e-01 -9.206390380859375000e-02 -2.032470703125000000e-01 -2.275390625000000000e-01 -1.306152343750000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.199999999999999734e+00
1.087402343750000000e+00 2.263183593750000000e-01 -9.249877929687500000e-02 -2.028808593750000000e-01 -2.268066406250000000e-01 -1.245117187500000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.149999999999999689e+00
1.094726562500000000e+00 2.263183593750000000e-01 -9.283447265625000000e-02 -2.032470703125000000e-01 -2.255859375000000000e-01 -1.135253906250000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.099999999999999645e+00
1.092773437500000000e+00 2.263183593750000000e-01 -9.304046630859375000e-02 -2.025146484375000000e-01 -2.238769531250000000e-01 -1.318359375000000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -1.049999999999999600e+00
1.099609375000000000e+00 2.253417968750000000e-01 -9.329986572265625000e-02 -2.019042968750000000e-01 -2.224121093750000000e-01 -1.196289062500000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -9.999999999999995559e-01
1.105468750000000000e+00 2.258300781250000000e-01 -9.363555908203125000e-02 -2.011718750000000000e-01 -2.209472656250000000e-01 -1.098632812500000000e-02 5.960000000000000000e+03 3.799999999999999822e+00 -9.499999999999995115e-01
1.112304687500000000e+00 2.253417968750000000e-01 -9.412384033203125000e-02 -2.004394531250000000e-01 -2.204589843750000000e-01 -9.033203125000000000e-03 5.960000000000000000e+03 3.799999999999999822e+00 -8.999999999999994671e-01
9.687500000000000000e-01 2.064208984375000000e-01 -8.316040039062500000e-02 -1.874389648437500000e-01 -2.097167968750000000e-01 -7.446289062500000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.500000000000000000e+00
9.960937500000000000e-01 2.109375000000000000e-01 -8.545684814453125000e-02 -1.915893554687500000e-01 -2.142333984375000000e-01 -7.202148437500000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.449999999999999956e+00
1.021484375000000000e+00 2.150878906250000000e-01 -8.734893798828125000e-02 -1.950683593750000000e-01 -2.171630859375000000e-01 -7.690429687500000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.399999999999999911e+00
1.041503906250000000e+00 2.174072265625000000e-01 -8.887481689453125000e-02 -1.965332031250000000e-01 -2.192382812500000000e-01 -8.056640625000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.349999999999999867e+00
1.055664062500000000e+00 2.199707031250000000e-01 -9.001159667968750000e-02 -1.983642578125000000e-01 -2.215576171875000000e-01 -7.812500000000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.299999999999999822e+00
1.066894531250000000e+00 2.219238281250000000e-01 -9.086608886718750000e-02 -1.997070312500000000e-01 -2.214355468750000000e-01 -7.934570312500000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.249999999999999778e+00
1.071289062500000000e+00 2.221679687500000000e-01 -9.152221679687500000e-02 -2.004394531250000000e-01 -2.211914062500000000e-01 -6.347656250000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.199999999999999734e+00
1.081054687500000000e+00 2.224121093750000000e-01 -9.188842773437500000e-02 -2.001953125000000000e-01 -2.221679687500000000e-01 -7.324218750000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.149999999999999689e+00
1.088867187500000000e+00 2.233886718750000000e-01 -9.217834472656250000e-02 -1.995849609375000000e-01 -2.194824218750000000e-01 -7.324218750000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.099999999999999645e+00
1.088867187500000000e+00 2.209472656250000000e-01 -9.244537353515625000e-02 -1.999511718750000000e-01 -2.192382812500000000e-01 -6.591796875000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -1.049999999999999600e+00
1.090820312500000000e+00 2.219238281250000000e-01 -9.268188476562500000e-02 -1.984863281250000000e-01 -2.182617187500000000e-01 -6.591796875000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -9.999999999999995559e-01
1.100585937500000000e+00 2.216796875000000000e-01 -9.304046630859375000e-02 -1.990966796875000000e-01 -2.185058593750000000e-01 -5.371093750000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -9.499999999999995115e-01
1.105468750000000000e+00 2.204589843750000000e-01 -9.347534179687500000e-02 -1.981201171875000000e-01 -2.158203125000000000e-01 -5.126953125000000000e-03 5.980000000000000000e+03 3.799999999999999822e+00 -8.999999999999994671e-01
9.653320312500000000e-01 2.021484375000000000e-01 -8.270263671875000000e-02 -1.838989257812500000e-01 -2.054443359375000000e-01 -2.197265625000000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.500000000000000000e+00
9.926757812500000000e-01 2.065429687500000000e-01 -8.494567871093750000e-02 -1.885986328125000000e-01 -2.098388671875000000e-01 -2.807617187500000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.449999999999999956e+00
1.016113281250000000e+00 2.103271484375000000e-01 -8.682250976562500000e-02 -1.911621093750000000e-01 -2.128906250000000000e-01 -2.319335937500000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.399999999999999911e+00
1.037597656250000000e+00 2.135009765625000000e-01 -8.831787109375000000e-02 -1.938476562500000000e-01 -2.160644531250000000e-01 -2.685546875000000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.349999999999999867e+00
1.052246093750000000e+00 2.155761718750000000e-01 -8.947753906250000000e-02 -1.953125000000000000e-01 -2.169189453125000000e-01 -2.929687500000000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.299999999999999822e+00
1.064453125000000000e+00 2.169189453125000000e-01 -9.032440185546875000e-02 -1.967773437500000000e-01 -2.180175781250000000e-01 -1.953125000000000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.249999999999999778e+00
1.067871093750000000e+00 2.177734375000000000e-01 -9.093475341796875000e-02 -1.976318359375000000e-01 -2.167968750000000000e-01 -1.953125000000000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.199999999999999734e+00
1.079101562500000000e+00 2.170410156250000000e-01 -9.134674072265625000e-02 -1.970214843750000000e-01 -2.172851562500000000e-01 -2.441406250000000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.149999999999999689e+00
1.080078125000000000e+00 2.170410156250000000e-01 -9.160614013671875000e-02 -1.961669921875000000e-01 -2.160644531250000000e-01 -9.765625000000000000e-04 6.000000000000000000e+03 3.799999999999999822e+00 -1.099999999999999645e+00
1.080078125000000000e+00 2.177734375000000000e-01 -9.183502197265625000e-02 -1.959228515625000000e-01 -2.143554687500000000e-01 -1.220703125000000000e-03 6.000000000000000000e+03 3.799999999999999822e+00 -1.049999999999999600e+00
1.087890625000000000e+00 2.177734375000000000e-01 -9.209442138671875000e-02 -1.954345703125000000e-01 -2.150878906250000000e-01 -9.765625000000000000e-04 6.000000000000000000e+03 3.799999999999999822e+00 -9.999999999999995559e-01
1.092773437500000000e+00 2.160644531250000000e-01 -9.243774414062500000e-02 -1.961669921875000000e-01 -2.126464843750000000e-01 9.765625000000000000e-04 6.000000000000000000e+03 3.799999999999999822e+00 -9.499999999999995115e-01
