# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
1.874835986117399766e+00 4.530607122602299808e-01 -1.266459344685999799e-01 -3.386513385530399156e-01 -4.221319356852599736e-01 -2.503468191571299739e-01 5.107000000000000000e+03 4.349999999999999645e+00 -8.000000000000000444e-01
1.891712223158399819e+00 4.541854106277299352e-01 -1.275748649005999935e-01 -3.389292850466399942e-01 -4.218511846384599417e-01 -2.499031929570300070e-01 5.107000000000000000e+03 4.349999999999999645e+00 -7.500000000000000000e-01
1.908588460199399872e+00 4.553101089952299452e-01 -1.285037953325999793e-01 -3.392072315402400173e-01 -4.215704335916599654e-01 -2.494595667569299846e-01 5.107000000000000000e+03 4.349999999999999645e+00 -6.999999999999999556e-01
1.925464697240399925e+00 4.564348073627299551e-01 -1.294327257645999929e-01 -3.394851780338399294e-01 -4.212896825448599336e-01 -2.490159405568300177e-01 5.107000000000000000e+03 4.349999999999999645e+00 -6.499999999999999112e-01
1.942678242206699935e+00 4.575652417266000138e-01 -1.303644313266200117e-01 -3.397708424094600388e-01 -4.210188689662299755e-01 -2.485631921092499863e-01 5.107000000000000000e+03 4.349999999999999645e+00 -5.999999999999998668e-01
1.960678838998699991e+00 4.587090600819999642e-01 -1.313026121920199962e-01 -3.400745151764599794e-01 -4.207712428133299487e-01 -2.480891584175499709e-01 5.107000000000000000e+03 4.349999999999999645e+00 -5.499999999999998224e-01
1.978679435790699825e+00 4.598528784373999700e-01 -1.322407930574199808e-01 -3.403781879434600310e-01 -4.205236166604299219e-01 -2.476151247258499832e-01 5.107000000000000000e+03 4.349999999999999645e+00 -4.999999999999997780e-01
2.001935158337699860e+00 4.628953192792999438e-01 -1.336310809885200013e-01 -3.414277587224600063e-01 -4.209836895644299970e-01 -2.475962373573500075e-01 5.107000000000000000e+03 4.349999999999999645e+00 -4.499999999999997335e-01
2.025190880884700118e+00 4.659377601211999731e-01 -1.350213689196199940e-01 -3.424773295014599261e-01 -4.214437624684300165e-01 -2.475773499888500040e-01 5.107000000000000000e+03 4.349999999999999645e+00 -3.999999999999996891e-01
2.048446603431699931e+00 4.689802009631000024e-01 -1.364116568507200145e-01 -3.435269002804599570e-01 -4.219038353724299806e-01 -2.475584626203500005e-01 5.107000000000000000e+03 4.349999999999999645e+00 -3.499999999999996447e-01
2.071702325978700188e+00 4.720226418049999761e-01 -1.378019447818200072e-01 -3.445764710594599878e-01 -4.223639082764300001e-01 -2.475395752518499970e-01 5.107000000000000000e+03 4.349999999999999645e+00 -2.999999999999996003e-01
2.094958048525700001e+00 4.750650826469000609e-01 -1.391922327129200276e-01 -3.456260418384599631e-01 -4.228239811804299642e-01 -2.475206878833499935e-01 5.107000000000000000e+03 4.349999999999999645e+00 -2.499999999999995559e-01
2.118213771072700258e+00 4.781075234888000347e-01 -1.405825206440200204e-01 -3.466756126174599939e-01 -4.232840540844299837e-01 -2.475018005148499900e-01 5.107000000000000000e+03 4.349999999999999645e+00 -1.999999999999995115e-01
1.854953012581399774e+00 4.468702397580300301e-01 -1.262315259226000075e-01 -3.353371726494399629e-01 -4.169250476148599893e-01 -2.439872069309300118e-01 5.127000000000000000e+03 4.349999999999999645e+00 -8.000000000000000444e-01
1.871829249622400049e+00 4.479949381255299845e-01 -1.271604563546000211e-01 -3.356151191430399860e-01 -4.166442965680600130e-01 -2.435435807308300171e-01 5.127000000000000000e+03 4.349999999999999645e+00 -7.500000000000000000e-01
1.888705486663399880e+00 4.491196364930299945e-01 -1.280893867866000069e-01 -3.358930656366400092e-01 -4.163635455212599812e-01 -2.430999545307300225e-01 5.127000000000000000e+03 4.349999999999999645e+00 -6.999999999999999556e-01
1.905581723704399932e+00 4.502443348605299489e-01 -1.290183172185999927e-01 -3.361710121302399767e-01 -4.160827944744600604e-01 -2.426563283306300001e-01 5.127000000000000000e+03 4.349999999999999645e+00 -6.499999999999999112e-01
1.922457960745399985e+00 4.513690332280300144e-01 -1.299472476506000063e-01 -3.364489586238399998e-01 -4.158020434276600286e-01 -2.422127021305300054e-01 5.127000000000000000e+03 4.349999999999999645e+00 -5.999999999999998668e-01
1.939334197786400038e+00 4.524937315955300243e-01 -1.308761780826000198e-01 -3.367269051174400230e-01 -4.155212923808599967e-01 -2.417690759304300108e-01 5.127000000000000000e+03 4.349999999999999645e+00 -5.499999999999998224e-01
1.956547742752700048e+00 4.536241659594000275e-01 -1.318078836446200108e-01 -3.370125694930600213e-01 -4.152504788022299276e-01 -2.413163274828499794e-01 5.127000000000000000e+03 4.349999999999999645e+00 -4.999999999999997780e-01
1.979803465299700083e+00 4.566666068013000568e-01 -1.331981715757200035e-01 -3.380621402720599966e-01 -4.157105517062300026e-01 -2.412974401143500314e-01 5.127000000000000000e+03 4.349999999999999645e+00 -4.499999999999997335e-01
2.003059187846700340e+00 4.597090476431999750e-01 -1.345884595068200240e-01 -3.391117110510599719e-01 -4.161706246102300222e-01 -2.412785527458500279e-01 5.127000000000000000e+03 4.349999999999999645e+00 -3.999999999999996891e-01
2.026314910393700153e+00 4.627514884851000598e-01 -1.359787474379200445e-01 -3.401612818300600027e-01 -4.166306975142299862e-01 -2.412596653773500521e-01 5.127000000000000000e+03 4.349999999999999645e+00 -3.499999999999996447e-01
2.049570632940699966e+00 4.657939293270000336e-01 -1.373690353690200372e-01 -3.412108526090600336e-01 -4.170907704182300058e-01 -2.412407780088500209e-01 5.127000000000000000e+03 4.349999999999999645e+00 -2.999999999999996003e-01
2.072826355487700223e+00 4.688363701689000074e-01 -1.387593233001200299e-01 -3.422604233880599534e-01 -4.175508433222300253e-01 -2.412218906403499896e-01 5.127000000000000000e+03 4.349999999999999645e+00 -2.499999999999995559e-01
2.096082078034700480e+00 4.718788110108000367e-01 -1.401496112312200226e-01 -3.433099941670599842e-01 -4.180109162262299893e-01 -2.412030032718499861e-01 5.127000000000000000e+03 4.349999999999999645e+00 -1.999999999999995115e-01
1.834005429867300085e+00 4.409200192740500568e-01 -1.258377610104000066e-01 -3.320789295018000131e-01 -4.118283534033599924e-01 -2.377610455919600130e-01 5.147000000000000000e+03 4.349999999999999645e+00 -8.000000000000000444e-01
1.850881666908300138e+00 4.420447176415500112e-01 -1.267666914424000202e-01 -3.323568759954000362e-01 -4.115476023565600161e-01 -2.373174193918600183e-01 5.147000000000000000e+03 4.349999999999999645e+00 -7.500000000000000000e-01
1.867757903949299969e+00 4.431694160090500212e-01 -1.276956218744000060e-01 -3.326348224890000038e-01 -4.112668513097600398e-01 -2.368737931917599959e-01 5.147000000000000000e+03 4.349999999999999645e+00 -6.999999999999999556e-01
1.884634140990299800e+00 4.442941143765499201e-01 -1.286245523064000196e-01 -3.329127689826000269e-01 -4.109861002629600080e-01 -2.364301669916599735e-01 5.147000000000000000e+03 4.349999999999999645e+00 -6.499999999999999112e-01
1.901510378031299853e+00 4.454188127440499856e-01 -1.295534827384000054e-01 -3.331907154761999945e-01 -4.107053492161599761e-01 -2.359865407915599789e-01 5.147000000000000000e+03 4.349999999999999645e+00 -5.999999999999998668e-01
1.918348397298299979e+00 4.466457284864600030e-01 -1.304948206947600109e-01 -3.335502907895900315e-01 -4.105085066890900025e-01 -2.356220578226900231e-01 5.147000000000000000e+03 4.349999999999999645e+00 -5.499999999999998224e-01
1.935170037519299946e+00 4.479164516752600633e-01 -1.314414761615600169e-01 -3.339448498828900269e-01 -4.103476249561900380e-01 -2.352914933814900245e-01 5.147000000000000000e+03 4.349999999999999645e+00 -4.999999999999997780e-01
1.957222543285300098e+00 4.502890025216600423e-01 -1.327599341841600167e-01 -3.347315741977899828e-01 -4.104784140543900062e-01 -2.349696508957899999e-01 5.147000000000000000e+03 4.349999999999999645e+00 -4.499999999999997335e-01
1.979636014085599971e+00 4.528625203667099863e-01 -1.340999411793100393e-01 -3.355971524519200111e-01 -4.107079882943300286e-01 -2.347386949452500426e-01 5.147000000000000000e+03 4.349999999999999645e+00 -3.999999999999996891e-01
2.002891736632600228e+00 4.559049612086100156e-01 -1.354902291104100320e-01 -3.366467232309200419e-01 -4.111680611983300482e-01 -2.347198075767500114e-01 5.147000000000000000e+03 4.349999999999999645e+00 -3.499999999999996447e-01
2.026147459179600041e+00 4.589474020505100449e-01 -1.368805170415100247e-01 -3.376962940099200727e-01 -4.116281341023300122e-01 -2.347009202082500079e-01 5.147000000000000000e+03 4.349999999999999645e+00 -2.999999999999996003e-01
2.049403181726600298e+00 4.619898428924100742e-01 -1.382708049726100175e-01 -3.387458647889199925e-01 -4.120882070063300318e-01 -2.346820328397500321e-01 5.147000000000000000e+03 4.349999999999999645e+00 -2.499999999999995559e-01
2.072658904273600111e+00 4.650322837343100479e-01 -1.396610929037100379e-01 -3.397954355679200233e-01 -4.125482799103300513e-01 -2.346631454712500009e-01 5.147000000000000000e+03 4.349999999999999645e+00 -1.999999999999995115e-01
1.812869974945300111e+00 4.350121962050499946e-01 -1.254476390924000040e-01 -3.288305550758000018e-01 -4.067511051669600031e-01 -2.315584344095600045e-01 5.167000000000000000e+03 4.349999999999999645e+00 -8.000000000000000444e-01
1.829746211986300164e+00 4.361368945725499491e-01 -1.263765695244000176e-01 -3.291085015694000249e-01 -4.064703541201599712e-01 -2.311148082094600098e-01 5.167000000000000000e+03 4.349999999999999645e+00 -7.500000000000000000e-01
1.846622449027300217e+00 4.372615929400499590e-01 -1.273054999564000034e-01 -3.293864480629999925e-01 -4.061896030733600504e-01 -2.306711820093599874e-01 5.167000000000000000e+03 4.349999999999999645e+00 -6.999999999999999556e-01
1.863460468294299899e+00 4.384885086824599765e-01 -1.282468379127600089e-01 -3.297460233763900295e-01 -4.059927605462900213e-01 -2.303066990404900038e-01 5.167000000000000000e+03 4.349999999999999645e+00 -6.499999999999999112e-01
1.880282108515299866e+00 4.397592318712599813e-01 -1.291934933795599871e-01 -3.301405824696900249e-01 -4.058318788133900012e-01 -2.299761345992900052e-01 5.167000000000000000e+03 4.349999999999999645e+00 -5.999999999999998668e-01
1.897103748736299833e+00 4.410299550600599860e-01 -1.301401488463599931e-01 -3.305351415629899647e-01 -4.056709970804900367e-01 -2.296455701580900066e-01 5.167000000000000000e+03 4.349999999999999645e+00 -5.499999999999998224e-01
1.913925388957300022e+00 4.423006782488600463e-01 -1.310868043131599991e-01 -3.309297006562900156e-01 -4.055101153475900166e-01 -2.293150057168900080e-01 5.167000000000000000e+03 4.349999999999999645e+00 -4.999999999999997780e-01
1.935977894723299952e+00 4.446732290952599698e-01 -1.324052623357599989e-01 -3.317164249711900270e-01 -4.056409044457899848e-01 -2.289931632311900112e-01 5.167000000000000000e+03 4.349999999999999645e+00 -4.499999999999997335e-01
1.958030400489299883e+00 4.470457799416600042e-01 -1.337237203583599987e-01 -3.325031492860900384e-01 -4.057716935439900086e-01 -2.286713207454900143e-01 5.167000000000000000e+03 4.349999999999999645e+00 -3.999999999999996891e-01
1.980082906255300035e+00 4.494183307880599831e-01 -1.350421783809599985e-01 -3.332898736009899943e-01 -4.059024826421899768e-01 -2.283494782597900175e-01 5.167000000000000000e+03 4.349999999999999645e+00 -3.499999999999996447e-01
2.002496377055600352e+00 4.519918486331100382e-01 -1.363821853761100211e-01 -3.341554518551200226e-01 -4.061320568821299992e-01 -2.281185223092500047e-01 5.167000000000000000e+03 4.349999999999999645e+00 -2.999999999999996003e-01
2.025752099602600165e+00 4.550342894750100675e-01 -1.377724733072100416e-01 -3.352050226341199979e-01 -4.065921297861300188e-01 -2.280996349407499735e-01 5.167000000000000000e+03 4.349999999999999645e+00 -2.499999999999995559e-01
