# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
1.299044696431999935e+00 3.139692118470400195e-01 -1.064723303672200083e-01 -2.597837759977000283e-01 -3.074559633298999950e-01 -1.107497691792820038e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.300000000000000044e+00
1.307714542780999967e+00 3.139702721530400198e-01 -1.070575558166199925e-01 -2.595736592483000038e-01 -3.066390572241999846e-01 -1.099671418263820089e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.250000000000000000e+00
1.316384389129999777e+00 3.139713324590400201e-01 -1.076427812660200045e-01 -2.593635424989000349e-01 -3.058221511185000296e-01 -1.091845144734819861e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.199999999999999956e+00
1.325054235478999809e+00 3.139723927650400204e-01 -1.082280067154200026e-01 -2.591534257495000104e-01 -3.050052450127999637e-01 -1.084018871205819912e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.149999999999999911e+00
1.333724081827999841e+00 3.139734530710400207e-01 -1.088132321648200007e-01 -2.589433090000999860e-01 -3.041883389071000088e-01 -1.076192597676819962e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.099999999999999867e+00
1.342393928177000095e+00 3.139745133770400209e-01 -1.093984576142199988e-01 -2.587331922507000170e-01 -3.033714328013999983e-01 -1.068366324147820012e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.049999999999999822e+00
1.351063774525999905e+00 3.139755736830400212e-01 -1.099836830636199969e-01 -2.585230755012999926e-01 -3.025545266956999324e-01 -1.060540050618819785e-01 5.614000000000000000e+03 4.040000000000000036e+00 -9.999999999999997780e-01
1.364426065842599956e+00 3.143803468342600271e-01 -1.108124056944600061e-01 -2.585241505205800316e-01 -3.018371967388600030e-01 -1.052854309944499939e-01 5.614000000000000000e+03 4.040000000000000036e+00 -9.499999999999997335e-01
1.377479744001600004e+00 3.149956520139600147e-01 -1.116708573798600029e-01 -2.586775262689799959e-01 -3.012589194306599660e-01 -1.046139661128900056e-01 5.614000000000000000e+03 4.040000000000000036e+00 -8.999999999999996891e-01
1.391911925197400146e+00 3.158630637014199771e-01 -1.125641866183000050e-01 -2.589760273260199863e-01 -3.009192678170999891e-01 -1.042084162517779994e-01 5.614000000000000000e+03 4.040000000000000036e+00 -8.499999999999996447e-01
1.406688732152400201e+00 3.167935020158200166e-01 -1.134662352450000050e-01 -2.593108097102200249e-01 -3.006392726271999716e-01 -1.038693451457780026e-01 5.614000000000000000e+03 4.040000000000000036e+00 -7.999999999999996003e-01
1.421465539107400256e+00 3.177239403302200560e-01 -1.143682838717000050e-01 -2.596455920944200080e-01 -3.003592774372999541e-01 -1.035302740397779919e-01 5.614000000000000000e+03 4.040000000000000036e+00 -7.499999999999995559e-01
1.436242346062400310e+00 3.186543786446200399e-01 -1.152703324984000188e-01 -2.599803744786199911e-01 -3.000792822473999921e-01 -1.031912029337779951e-01 5.614000000000000000e+03 4.040000000000000036e+00 -6.999999999999995115e-01
1.285615382262399908e+00 3.091231722521999847e-01 -1.058874310757199899e-01 -2.566714292262000097e-01 -3.027403213396600012e-01 -1.051222295166820003e-01 5.634000000000000000e+03 4.040000000000000036e+00 -1.300000000000000044e+00
1.294453793632999838e+00 3.091718012554399708e-01 -1.064817082004199944e-01 -2.564922342380999698e-01 -3.019620494963999868e-01 -1.043779858360419921e-01 5.634000000000000000e+03 4.040000000000000036e+00 -1.250000000000000000e+00
