#Gaia_G_mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-48.2667339916 3.94264516579 3.79394271883 2.92867468475 -0.227515743514 -2.14187899604 -3.07758335339 2300.0 0.0 -0.0 0.0
-48.1521216884 3.98835713189 3.82217728403 2.93956300295 -0.224322180378 -2.1428082481 -3.08113309185 2300.0 0.0 -0.0 0.1
-48.037529245 4.0339988738 3.85035690054 2.95046167874 -0.22111196273 -2.14371919195 -3.0846635482 2300.0 0.0 -0.0 0.2
-47.9229563097 4.07956727545 3.87848067374 2.96137034814 -0.217885436466 -2.14461217534 -3.08817506861 2300.0 0.0 -0.0 0.3
-47.8084025397 4.12505912059 3.90654769245 2.972288662 -0.214642934711 -2.14548753632 -3.09166799623 2300.0 0.0 -0.0 0.4
-47.6938676098 4.17047110404 3.93455706965 2.98321628842 -0.211384782482 -2.1463456037 -3.09514266076 2300.0 0.0 -0.0 0.5
-47.5793511942 4.21579980276 3.9625078942 2.99415288878 -0.208111291979 -2.14718669774 -3.09859938295 2300.0 0.0 -0.0 0.6
-47.4648529855 4.26104168681 3.99039926753 3.00509814874 -0.204822774804 -2.14801112907 -3.10203847012 2300.0 0.0 -0.0 0.7
-47.3503726768 4.3061931197 4.0182302836 3.01605175465 -0.201519519532 -2.14881919968 -3.10546023156 2300.0 0.0 -0.0 0.8
-47.2359099771 4.35125034531 4.04600003334 3.02701340024 -0.198201824286 -2.1496112002 -3.10886495459 2300.0 0.0 -0.0 0.9
-48.5709826657 4.20687318737 3.76425825084 3.28200748714 -0.317182966028 -2.16455495585 -2.98010427254 2300.0 0.0 -0.5 0.0
-48.4562971723 4.25182618975 3.79259391295 3.29272129915 -0.314132186188 -2.16551029504 -2.98371238093 2300.0 0.0 -0.5 0.1
-48.3416304629 4.29669288822 3.82087663564 3.30344345972 -0.311065496961 -2.16644835659 -2.98730227865 2300.0 0.0 -0.5 0.2
-48.226982211 4.34146965231 3.84910556945 3.31417363061 -0.307983218475 -2.16736947344 -2.99087429346 2300.0 0.0 -0.5 0.3
-48.1123520954 4.38615273461 3.87727985039 3.32491147241 -0.304885667288 -2.16827396189 -2.99442874637 2300.0 0.0 -0.5 0.4
-47.9977398056 4.43073828452 3.90539861744 3.33565666656 -0.301773150452 -2.16916213387 -2.99796594601 2300.0 0.0 -0.5 0.5
-47.883145038 4.47522231459 3.9334610119 3.34640888855 -0.298645965472 -2.17003428962 -3.00148619173 2300.0 0.0 -0.5 0.6
-47.7685674999 4.51960072663 3.96146616828 3.35716783286 -0.295504399919 -2.17089071646 -3.00498978558 2300.0 0.0 -0.5 0.7
-47.654006906 4.56386929462 3.98941322015 3.36793319407 -0.292348734779 -2.17173170412 -3.00847700345 2300.0 0.0 -0.5 0.8
-47.5394629783 4.60802366034 4.01730129734 3.37870468274 -0.289179241265 -2.17255752599 -3.01194812768 2300.0 0.0 -0.5 0.9
-49.0073458561 4.97414504606 3.83652362845 3.51094409882 -0.563919762588 -2.12508917535 -2.74881074798 2300.0 0.0 -1.0 0.0
-48.8922463677 5.01654125238 3.86307278899 3.52124011331 -0.56105325129 -2.12636175386 -2.75279506126 2300.0 0.0 -1.0 0.1
-48.7771637237 5.05878476794 3.88957784505 3.53154200972 -0.558172574448 -2.1276189697 -2.75676310773 2300.0 0.0 -1.0 0.2
-48.6620976855 5.10087003262 3.91603820191 3.54184953817 -0.555277968964 -2.12886105935 -2.76071512557 2300.0 0.0 -1.0 0.3
-48.5470480184 5.14279134265 3.94245327695 3.55216244702 -0.552369664216 -2.13008825332 -2.76465134735 2300.0 0.0 -1.0 0.4
-48.4320144991 5.18454283726 3.96882247719 3.56248050115 -0.549447883901 -2.13130077802 -2.768571998 2300.0 0.0 -1.0 0.5
-48.3169969048 5.22611852865 3.99514520153 3.57280345877 -0.546512848704 -2.13249885074 -2.77247729535 2300.0 0.0 -1.0 0.6
-48.2019950206 5.26751227104 4.02142085009 3.58313109722 -0.543564763846 -2.13368268662 -2.77636745964 2300.0 0.0 -1.0 0.7
-48.0870086409 5.30871778152 4.04764882219 3.59346318897 -0.540603841146 -2.13485249315 -2.78024269411 2300.0 0.0 -1.0 0.8
-47.9720375579 5.34972863248 4.07382850283 3.60379951528 -0.537630277843 -2.1360084726 -2.78410320646 2300.0 0.0 -1.0 0.9
-49.4026254233 6.16569996744 4.00463836938 3.37781823527 -0.774383841559 -2.04600817774 -2.50186957219 2300.0 0.0 -1.5 0.0
-49.2870522674 6.20062413116 4.02854734347 3.38791178636 -0.771755638532 -2.04765589751 -2.50627987329 2300.0 0.0 -1.5 0.1
-49.1714941123 6.23520506411 4.0524251869 3.39800966102 -0.769115025007 -2.04929008713 -2.51067575111 2300.0 0.0 -1.5 0.2
-49.0559508082 6.26943498486 4.07627151132 3.40811170193 -0.766462149226 -2.0509108924 -2.5150573516 2300.0 0.0 -1.5 0.3
-48.9404222116 6.30330615548 4.10008594045 3.41821775798 -0.763797151753 -2.05251845977 -2.51942482652 2300.0 0.0 -1.5 0.4
-48.8249081783 6.33681091969 4.1238680737 3.42832768897 -0.761120177698 -2.05411292944 -2.52377831125 2300.0 0.0 -1.5 0.5
-48.7094085709 6.36994171128 4.14761751397 3.43844134279 -0.75843136272 -2.05569443973 -2.52811794726 2300.0 0.0 -1.5 0.6
-48.5939232507 6.40269106323 4.17133385857 3.44855858555 -0.755730841087 -2.05726312562 -2.53244387381 2300.0 0.0 -1.5 0.7
-48.4784520866 6.43505163638 4.19501669179 3.45867926843 -0.753018746476 -2.0588191196 -2.53675621594 2300.0 0.0 -1.5 0.8
-48.3629949478 6.46701623516 4.218665608 3.46880326805 -0.750295203838 -2.06036255335 -2.54105510931 2300.0 0.0 -1.5 0.9
-49.6212822866 7.12230834135 4.09952558898 2.68478928935 -0.858688450076 -1.97839997589 -2.32712051167 2300.0 0.0 -2.0 0.0
-49.5053054987 7.14307226561 4.12127942891 2.69497112627 -0.856351115391 -1.98036604803 -2.33188731147 2300.0 0.0 -2.0 0.1
-49.3893438929 7.1633662681 4.14301526667 2.70515876176 -0.854001247215 -1.98231839691 -2.33663950431 2300.0 0.0 -2.0 0.2
-49.2733973526 7.18319182473 4.16473277395 2.71535209097 -0.851638960443 -1.98425713928 -2.34137719926 2300.0 0.0 -2.0 0.3
-49.1574657642 7.20255080303 4.18643162649 2.72555100286 -0.849264364863 -1.98618238812 -2.34610051805 2300.0 0.0 -2.0 0.4
-49.0415490165 7.22144547426 4.20811149793 2.73575538868 -0.846877575447 -1.98809425421 -2.35080956698 2300.0 0.0 -2.0 0.5
-48.9256469957 7.23987848 4.22977204581 2.7459651469 -0.84447869627 -1.98999285038 -2.35550445731 2300.0 0.0 -2.0 0.6
-48.8097595982 7.25785284177 4.25141293166 2.75618017522 -0.842067839699 -1.99187827913 -2.36018529782 2300.0 0.0 -2.0 0.7
-48.6938867133 7.27537195198 4.27303380772 2.76640036635 -0.839645105876 -1.99375064991 -2.36485219705 2300.0 0.0 -2.0 0.8
-48.5780282377 7.29243955115 4.29463431527 2.77662562541 -0.837210599967 -1.99561006601 -2.36950525628 2300.0 0.0 -2.0 0.9
-49.7131941034 7.63804569536 4.18296441353 1.52366050466 -0.836166130825 -1.88779813395 -2.15911725759 2300.0 0.0 -3.0 0.0
-49.5964941116 7.64395740505 4.20283506474 1.53326051908 -0.834389156634 -1.89041212693 -2.16455916006 2300.0 0.0 -3.0 0.1
-49.4798132771 7.64964270475 4.22270043365 1.54287200606 -0.832595944254 -1.89300836757 -2.16998246674 2300.0 0.0 -3.0 0.2
-49.3631514794 7.6551083298 4.24256020002 1.55249485797 -0.830786608716 -1.89558698115 -2.17538730681 2300.0 0.0 -3.0 0.3
-49.2465085973 7.6603608963 4.26241403954 1.56212896772 -0.828961273512 -1.89814808558 -2.18077379627 2300.0 0.0 -3.0 0.4
-49.1298845103 7.66540690978 4.2822616199 1.57177422202 -0.82712005479 -1.90069180196 -2.18614205198 2300.0 0.0 -3.0 0.5
-49.0132790977 7.67025274837 4.30210259865 1.58143051583 -0.825263066655 -1.90321824821 -2.19149219836 2300.0 0.0 -3.0 0.6
-48.8966922447 7.67490467126 4.32193663484 1.59109774567 -0.823390425211 -1.90572754183 -2.19682434997 2300.0 0.0 -3.0 0.7
-48.7801238347 7.6793688097 4.34176338526 1.60077580453 -0.821502243687 -1.9082197989 -2.20213862055 2300.0 0.0 -3.0 0.8
-48.6635737517 7.68365116677 4.36158249815 1.61046458975 -0.819598634485 -1.91069513112 -2.20743513083 2300.0 0.0 -3.0 0.9
-49.6861068927 7.54459375452 3.94291556696 1.0263389202 -0.79420190342 -1.80531478736 -2.09808669587 2300.0 0.0 -4.0 0.0
-49.5687767147 7.55359176053 3.96254562642 1.03523795502 -0.792835526987 -1.80856246179 -2.10416528477 2300.0 0.0 -4.0 0.1
-49.4514702018 7.56228422262 3.98217718469 1.04415338845 -0.79144875912 -1.81178784851 -2.11022077673 2300.0 0.0 -4.0 0.2
-49.3341872049 7.57067833969 4.00180994812 1.05308507953 -0.790041741182 -1.81499108908 -2.11625332084 2300.0 0.0 -4.0 0.3
-49.2169275838 7.57878131244 4.02144362125 1.06203290038 -0.78861461459 -1.81817232973 -2.1222630582 2300.0 0.0 -4.0 0.4
