# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
1.726633921265602112e+00 4.403373152017593384e-01 -1.172922328114509583e-01 -3.357051797211170197e-01 -4.265040867030620575e-01 -2.540312893688678741e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.800000000000000044e+00
1.735950022935867310e+00 4.407347738742828369e-01 -1.177766509354114532e-01 -3.359332960098981857e-01 -4.263701625168323517e-01 -2.538090571761131287e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.750000000000000000e+00
1.743939429521560669e+00 4.409275241196155548e-01 -1.181466374546289444e-01 -3.358976636081933975e-01 -4.261156935244798660e-01 -2.535988464951515198e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.699999999999999956e+00
1.749536305665969849e+00 4.404684584587812424e-01 -1.183654023334383965e-01 -3.354994375258684158e-01 -4.252917189151048660e-01 -2.529296875000000000e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.649999999999999911e+00
1.752652138471603394e+00 4.396238811314105988e-01 -1.184351956471800804e-01 -3.347115330398082733e-01 -4.239809326827526093e-01 -2.519818861037492752e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.599999999999999867e+00
1.753634676337242126e+00 4.382891021668910980e-01 -1.183326770551502705e-01 -3.335264762863516808e-01 -4.223722554743289948e-01 -2.509245928376913071e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.549999999999999822e+00
1.750929430127143860e+00 4.361421056091785431e-01 -1.180320652201771736e-01 -3.318404462188482285e-01 -4.200765006244182587e-01 -2.493273541331291199e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.499999999999999778e+00
1.745525091886520386e+00 4.333853628486394882e-01 -1.175143788568675518e-01 -3.297107983380556107e-01 -4.171853484585881233e-01 -2.475858666002750397e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.449999999999999734e+00
1.736071474850177765e+00 4.298258535563945770e-01 -1.167614413425326347e-01 -3.269007746130228043e-01 -4.134414708241820335e-01 -2.452200315892696381e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.399999999999999689e+00
1.723046161234378815e+00 4.254750637337565422e-01 -1.157752596773207188e-01 -3.235012651421129704e-01 -4.090693742036819458e-01 -2.425984032452106476e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.349999999999999645e+00
1.706272535026073456e+00 4.202180523425340652e-01 -1.145217595621943474e-01 -3.194602760486304760e-01 -4.038202129304409027e-01 -2.393223047256469727e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.299999999999999600e+00
1.685484737157821655e+00 4.142587664537131786e-01 -1.130213388241827488e-01 -3.147928114049136639e-01 -3.977974485605955124e-01 -2.356289168819785118e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.249999999999999556e+00
1.660939618945121765e+00 4.073544442653656006e-01 -1.112825619056820869e-01 -3.095143693499267101e-01 -3.910320559516549110e-01 -2.316183466464281082e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.199999999999999512e+00
1.708033725619316101e+00 4.343214910477399826e-01 -1.169353602454066277e-01 -3.325312808156013489e-01 -4.212128315120935440e-01 -2.479109242558479309e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.800000000000000044e+00
1.717671915888786316e+00 4.348054043948650360e-01 -1.174232419580221176e-01 -3.327622991055250168e-01 -4.212606139481067657e-01 -2.477213665843009949e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.750000000000000000e+00
1.724916711449623108e+00 4.347798675298690796e-01 -1.177694322541356087e-01 -3.325396487489342690e-01 -4.207206666469573975e-01 -2.472007013857364655e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.699999999999999956e+00
1.730596899986267090e+00 4.344587735831737518e-01 -1.180177414789795876e-01 -3.321304628625512123e-01 -4.199761878699064255e-01 -2.466405294835567474e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.649999999999999911e+00
1.734038576483726501e+00 4.336942201480269432e-01 -1.180955618619918823e-01 -3.314467715099453926e-01 -4.188372995704412460e-01 -2.457665801048278809e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.599999999999999867e+00
1.734382197260856628e+00 4.320625243708491325e-01 -1.179764484986662865e-01 -3.301306897774338722e-01 -4.168705586344003677e-01 -2.444340735673904419e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.549999999999999822e+00
1.732035368680953979e+00 4.301403025165200233e-01 -1.176739940419793129e-01 -3.285304121673107147e-01 -4.146705530583858490e-01 -2.430525962263345718e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.499999999999999778e+00
1.726190000772476196e+00 4.272213410586118698e-01 -1.171541647054255009e-01 -3.262126781046390533e-01 -4.115814175456762314e-01 -2.409656122326850891e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.449999999999999734e+00
1.717137329280376434e+00 4.237887561321258545e-01 -1.164215193130075932e-01 -3.235650062561035156e-01 -4.080669060349464417e-01 -2.389430813491344452e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.399999999999999689e+00
1.704522542655467987e+00 4.195749796926975250e-01 -1.154338931664824486e-01 -3.201787467114627361e-01 -4.037197371944785118e-01 -2.361910119652748108e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.349999999999999645e+00
1.687585711479187012e+00 4.143815496936440468e-01 -1.141825872473418713e-01 -3.161978148855268955e-01 -3.985003028064966202e-01 -2.331358604133129120e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.299999999999999600e+00
1.667186759412288666e+00 4.083735328167676926e-01 -1.127011631615459919e-01 -3.115811287425458431e-01 -3.925804449245333672e-01 -2.295661112293601036e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.249999999999999556e+00
1.642725609242916107e+00 4.015074693597853184e-01 -1.109621638897806406e-01 -3.063241550698876381e-01 -3.858794244006276131e-01 -2.255606045946478844e-01 5.115000000000000000e+03 3.009999999999999787e+00 -1.199999999999999512e+00
1.689745813608169556e+00 4.283581674098968506e-01 -1.165779605507850647e-01 -3.292696177959442139e-01 -4.160302802920341492e-01 -2.415499724447727203e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.800000000000000044e+00
1.698879241943359375e+00 4.287488460540771484e-01 -1.170561062172055244e-01 -3.293663170188665390e-01 -4.158381279557943344e-01 -2.413477748632431030e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.750000000000000000e+00
1.706220895051956177e+00 4.287571180611848831e-01 -1.174119217321276665e-01 -3.292384780943393707e-01 -4.154218100011348724e-01 -2.409477457404136658e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.699999999999999956e+00
1.712214276194572449e+00 4.283845294266939163e-01 -1.176456054672598839e-01 -3.288819026201963425e-01 -4.146836213767528534e-01 -2.402751855552196503e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.649999999999999911e+00
1.715405970811843872e+00 4.276116490364074707e-01 -1.177164856344461441e-01 -3.281622445210814476e-01 -4.135144948959350586e-01 -2.394378073513507843e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.599999999999999867e+00
1.716031327843666077e+00 4.262090614065527916e-01 -1.176272137090563774e-01 -3.268820336088538170e-01 -4.117696285247802734e-01 -2.382993344217538834e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.549999999999999822e+00
1.713200256228446960e+00 4.239716408774256706e-01 -1.173083200119435787e-01 -3.250866439193487167e-01 -4.092774260789155960e-01 -2.366267852485179901e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.499999999999999778e+00
1.707736328244209290e+00 4.212641734629869461e-01 -1.167999305762350559e-01 -3.229706836864352226e-01 -4.063651729375123978e-01 -2.348923608660697937e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.449999999999999734e+00
1.698448568582534790e+00 4.177680900320410728e-01 -1.160518480464816093e-01 -3.202246911823749542e-01 -4.027176843956112862e-01 -2.326566018164157867e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.399999999999999689e+00
1.685715861618518829e+00 4.134191796183586121e-01 -1.150641054846346378e-01 -3.168291952461004257e-01 -3.983449004590511322e-01 -2.300055380910634995e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.349999999999999645e+00
1.669507548213005066e+00 4.083692925050854683e-01 -1.138382460922002792e-01 -3.128977390006184578e-01 -3.932804213836789131e-01 -2.269917968660593033e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.299999999999999600e+00
1.648866020143032074e+00 4.024572856724262238e-01 -1.123495707288384438e-01 -3.083399608731269836e-01 -3.873560996726155281e-01 -2.234283909201622009e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.249999999999999556e+00
1.624820463359355927e+00 3.956786547787487507e-01 -1.106066252104938030e-01 -3.030385836027562618e-01 -3.805921105667948723e-01 -2.194671100005507469e-01 5.135000000000000000e+03 3.009999999999999787e+00 -1.199999999999999512e+00
1.671602159738540649e+00 4.223694205284118652e-01 -1.162005141377449036e-01 -3.258495144546031952e-01 -4.107544664293527603e-01 -2.353140302002429962e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.800000000000000044e+00
1.680721282958984375e+00 4.227366484701633453e-01 -1.166752167046070099e-01 -3.259999174624681473e-01 -4.105630610138177872e-01 -2.350002862513065338e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.750000000000000000e+00
1.688048809766769409e+00 4.226716235280036926e-01 -1.170440437272191048e-01 -3.258334007114171982e-01 -4.101567100733518600e-01 -2.346076667308807373e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.699999999999999956e+00
1.693847432732582092e+00 4.224304053932428360e-01 -1.172700915485620499e-01 -3.254427034407854080e-01 -4.093791209161281586e-01 -2.338756807148456573e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.649999999999999911e+00
1.696993291378021240e+00 4.214587807655334473e-01 -1.173469908535480499e-01 -3.246508361771702766e-01 -4.081312231719493866e-01 -2.331282980740070343e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.599999999999999867e+00
1.697587504982948303e+00 4.200406614691019058e-01 -1.172400973737239838e-01 -3.235026868060231209e-01 -4.064610768109560013e-01 -2.319300714880228043e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.549999999999999822e+00
1.695087864995002747e+00 4.180729798972606659e-01 -1.169382678344845772e-01 -3.218259811401367188e-01 -4.040407594293355942e-01 -2.304035127162933350e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.499999999999999778e+00
1.689443230628967285e+00 4.151110220700502396e-01 -1.164095262065529823e-01 -3.196120364591479301e-01 -4.011245369911193848e-01 -2.285443879663944244e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.449999999999999734e+00
1.680580630898475647e+00 4.117599399760365486e-01 -1.156709920614957809e-01 -3.168476298451423645e-01 -3.974895942956209183e-01 -2.263908777385950089e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.399999999999999689e+00
1.667631134390830994e+00 4.074862869456410408e-01 -1.146795554086565971e-01 -3.134549446403980255e-01 -3.931148266419768333e-01 -2.237628977745771408e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.349999999999999645e+00
1.651286348700523376e+00 4.024563403800129890e-01 -1.134524447843432426e-01 -3.095546825788915157e-01 -3.880222989246249199e-01 -2.207542918622493744e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.299999999999999600e+00
1.631470985710620880e+00 3.966372478753328323e-01 -1.119784796610474586e-01 -3.050656276755034924e-01 -3.822817867621779442e-01 -2.173397559672594070e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.249999999999999556e+00
1.607240915298461914e+00 3.899018918164074421e-01 -1.102369930595159531e-01 -2.998245954513549805e-01 -3.756260965019464493e-01 -2.135155946016311646e-01 5.155000000000000000e+03 3.009999999999999787e+00 -1.199999999999999512e+00
1.653782904148101807e+00 4.162835292518138885e-01 -1.158194569870829582e-01 -3.224511891603469849e-01 -4.054845310747623444e-01 -2.289226986467838287e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.800000000000000044e+00
1.662791132926940918e+00 4.166070427745580673e-01 -1.163072567433118820e-01 -3.226246517151594162e-01 -4.053519014269113541e-01 -2.287104986608028412e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.750000000000000000e+00
1.670355543494224548e+00 4.167103003710508347e-01 -1.166562279686331749e-01 -3.224546704441308975e-01 -4.049062188714742661e-01 -2.283323891460895538e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.699999999999999956e+00
1.676105484366416931e+00 4.163709171116352081e-01 -1.168953832238912582e-01 -3.220662698149681091e-01 -4.041767437011003494e-01 -2.276151776313781738e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.649999999999999911e+00
1.678821787238121033e+00 4.153756462037563324e-01 -1.169471666216850281e-01 -3.212452596053481102e-01 -4.027915000915527344e-01 -2.267401032149791718e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.599999999999999867e+00
1.679655700922012329e+00 4.140817858278751373e-01 -1.168538285419344902e-01 -3.200770560652017593e-01 -4.011004995554685593e-01 -2.256474010646343231e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.549999999999999822e+00
1.677449643611907959e+00 4.120431570336222649e-01 -1.165700452402234077e-01 -3.184905592352151871e-01 -3.989052623510360718e-01 -2.242200858891010284e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.499999999999999778e+00
1.671617746353149414e+00 4.093419238924980164e-01 -1.160338395275175571e-01 -3.162084305658936501e-01 -3.958319295197725296e-01 -2.223568949848413467e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.449999999999999734e+00
1.662841811776161194e+00 4.058343721553683281e-01 -1.152918147854506969e-01 -3.135193930938839912e-01 -3.923729099333286285e-01 -2.203019969165325165e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.399999999999999689e+00
1.650589682161808014e+00 4.017833871766924858e-01 -1.143175489269196987e-01 -3.102887216955423355e-01 -3.882250245660543442e-01 -2.177971825003623962e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.349999999999999645e+00
1.634231075644493103e+00 3.966983621940016747e-01 -1.130817644298076630e-01 -3.063538279384374619e-01 -3.831174736842513084e-01 -2.148017883300781250e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.299999999999999600e+00
1.614350646734237671e+00 3.909487389028072357e-01 -1.115986402146518230e-01 -3.018726208247244358e-01 -3.773943111300468445e-01 -2.114792075008153915e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.249999999999999556e+00
1.590856425464153290e+00 3.844745242968201637e-01 -1.098756571300327778e-01 -2.967591555789113045e-01 -3.708728700876235962e-01 -2.078711912035942078e-01 5.175000000000000000e+03 3.009999999999999787e+00 -1.199999999999999512e+00
1.636620432138442993e+00 4.104484207928180695e-01 -1.154622081667184830e-01 -3.191099762916564941e-01 -4.002831503748893738e-01 -2.226639501750469208e-01 5.195000000000000000e+03 3.009999999999999787e+00 -1.800000000000000044e+00
1.645308256149291992e+00 4.106864146888256073e-01 -1.159135848283767700e-01 -3.191912509500980377e-01 -4.000235907733440399e-01 -2.222347706556320190e-01 5.195000000000000000e+03 3.009999999999999787e+00 -1.750000000000000000e+00
1.653073191642761230e+00 4.108523055911064148e-01 -1.162765808403491974e-01 -3.191067222505807877e-01 -3.996566142886877060e-01 -2.219126150012016296e-01 5.195000000000000000e+03 3.009999999999999787e+00 -1.699999999999999956e+00
