# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
8.563348098298000366e-01 -1.043821702372920157e-01 -2.839613052792600012e-02 9.784201810290800438e-02 2.273173751345199944e-01 4.418792397935600302e-01 8.272000000000000000e+03 4.209999999999999964e+00 -2.299999999999999822e+00
8.565994268017500524e-01 -1.044770643144870004e-01 -2.839629596532599817e-02 9.796055430743300096e-02 2.275272333417199810e-01 4.420637732499600459e-01 8.272000000000000000e+03 4.209999999999999964e+00 -2.250000000000000000e+00
8.568296427900200518e-01 -1.045778393645840076e-01 -2.839021679863999725e-02 9.808520604007199550e-02 2.277371761708200104e-01 4.422508169857600202e-01 8.272000000000000000e+03 4.209999999999999964e+00 -2.200000000000000178e+00
8.570082573027700823e-01 -1.046874358740340072e-01 -2.837477072582500134e-02 9.821903106488200086e-02 2.279472459327699929e-01 4.424416261406600714e-01 8.272000000000000000e+03 4.209999999999999964e+00 -2.150000000000000355e+00
8.571868718155200018e-01 -1.047970323834840067e-01 -2.835932465301000197e-02 9.835285608969199234e-02 2.281573156947200032e-01 4.426324352955600117e-01 8.272000000000000000e+03 4.209999999999999964e+00 -2.100000000000000533e+00
8.573654863282699212e-01 -1.049066288929340063e-01 -2.834387858019499912e-02 9.848668111450199769e-02 2.283673854566699857e-01 4.428232444504600629e-01 8.272000000000000000e+03 4.209999999999999964e+00 -2.050000000000000711e+00
8.575441008410199517e-01 -1.050162254023840058e-01 -2.832843250737999627e-02 9.862050613931198917e-02 2.285774552186199959e-01 4.430140536053600031e-01 8.272000000000000000e+03 4.209999999999999964e+00 -2.000000000000000888e+00
8.612312857406199118e-01 -1.057961838633720009e-01 -2.868201884908200272e-02 9.962024961357600350e-02 2.309705819942399763e-01 4.447186672669399821e-01 8.272000000000000000e+03 4.209999999999999964e+00 -1.950000000000001066e+00
8.615669829026200155e-01 -1.060116244484719805e-01 -2.865450821691199745e-02 9.989402072657599385e-02 2.313768095779399903e-01 4.450880480572400044e-01 8.272000000000000000e+03 4.209999999999999964e+00 -1.900000000000001243e+00
8.619026800646198971e-01 -1.062270650335719879e-01 -2.862699758474199913e-02 1.001677918395759981e-01 2.317830371616399765e-01 4.454574288475399713e-01 8.272000000000000000e+03 4.209999999999999964e+00 -1.850000000000001421e+00
8.622383772266200008e-01 -1.064425056186719953e-01 -2.859948695257200080e-02 1.004415629525760023e-01 2.321892647453399905e-01 4.458268096378399936e-01 8.272000000000000000e+03 4.209999999999999964e+00 -1.800000000000001599e+00
8.625740743886198825e-01 -1.066579462037720027e-01 -2.857197632040200247e-02 1.007153340655759927e-01 2.325954923290399767e-01 4.461961904281400160e-01 8.272000000000000000e+03 4.209999999999999964e+00 -1.750000000000001776e+00
